,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,NFLX Position,NFLX Order,NFLX Filled Order,NFLX Trade Price,NFLX Cost to Trade,NFLX PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,AMZN Position,AMZN Order,AMZN Filled Order,AMZN Trade Price,AMZN Cost to Trade,AMZN PnL
2016-08-15,0.17532680687999638,13.84559302136,563272.7308786014,562244.020399,1138455.9302136013,-133,-28,-28,108.139999,3.724004200000184,-177.74443119999893,98,-29,-29,96.83,5.437500000000165,-123.91750000000043,-180,-19,-19,783.75,4.749999999999568,145.719999999995,-320,2,2,162.4,0.39400000000001684,21.105999999997767,-462,24,24,771.9,8.075999999999476,1888.1039999999703
2016-08-12,0.014094596370003511,13.670266214480002,563190.8323548014,565069.38,1136702.6621448013,-105,-33,-33,107.779999,5.082003299999872,-36.28203629999997,127,-32,-32,95.53,6.335999999999967,71.04400000000041,-161,-23,-23,781.5,10.096999999998662,175.28300000000007,-322,0,0,163.19,0.0,508.760000000004,-486,26,26,768.46,8.61899999999955,-577.8589999999693
2016-08-11,-0.15663691170000416,13.65617161811,559732.5666131015,563611.8,1136561.7161811013,-72,-39,-39,108.519997,6.123000000000085,19.196882999999566,159,-41,-41,94.6,7.79000000000014,331.31999999999834,-138,-27,-27,785.0,8.14050000000027,-22.96050000000896,-322,-5,-5,162.25,0.674999999999983,-466.7249999999964,-512,31,31,769.94,12.260499999998364,-1427.2005000000343
2016-08-10,-0.03787070159999916,13.812808529810003,558714.3853641013,559370.9199999999,1138128.0852981014,-33,-50,-50,108.709999,7.324999999999733,14.404984000000198,200,-60,-60,94.4,12.990000000000123,-0.38999999999708734,-111,-35,-35,783.75,18.14749999999981,-82.61749999999495,-317,-3,-3,162.19,0.46949999999999936,-97.47950000000075,-543,41,41,769.8,15.784999999998696,-212.62499999999906
2016-08-09,-0.15148370824000054,13.850679231410002,554399.3223481014,559092.58,1138506.7923141012,17,-52,-52,108.230003,8.345997399999657,-8.146082399999752,260,-48,-48,95.12,9.43200000000029,-300.15200000000124,-76,-38,-38,781.1,12.425999999999068,-227.50599999999787,-314,-6,-6,162.22,1.1069999999999482,84.75299999999439,-584,34,34,767.39,13.565999999999258,-1063.7860000000007
2016-08-08,-0.05516117744999499,14.002162939650002,549148.6591895014,553349.2799999999,1140021.6293965015,69,-45,-45,107.519997,7.807504500000178,55.402225500000185,308,-46,-46,95.91,14.214000000000148,-657.094000000001,-38,-32,-32,782.0,20.31999999999898,-9.879999999998471,-308,4,4,162.73,0.7880000000000337,451.9720000000025,-618,28,28,766.81,10.332000000000154,-392.01199999995316
2016-08-05,-0.25692897359500194,14.0573241171,545992.4208290013,550528.4,1140573.2411710012,114,-39,-39,106.269997,5.304001949999938,193.83576405000025,354,-30,-30,93.77,5.8650000000000375,1274.8950000000011,-6,-31,-31,773.78,11.268500000000676,-7.658500000002027,-312,-8,-8,162.0,1.432000000000062,-606.2319999999966,-646,12,12,764.81,9.989999999999508,-3424.1300000000224
2016-08-04,-0.42712496635499964,14.314253090694997,531798.9904479511,549697.86,1143142.5309069513,153,-29,-29,105.58000200000001,4.4514985500000765,1.698836449998998,384,-4,-4,93.2,0.8239999999999782,130.13600000000136,25,-29,-29,772.22,12.165499999998497,-79.25549999999467,-304,-15,-15,160.86,2.294999999999959,-266.96500000000685,-658,-17,-17,753.7,7.343999999999892,-4056.8639999999955
2016-08-03,0.37414275210000314,14.741378057050003,517337.2903885014,530157.87,1147413.7805705012,182,-23,-23,104.809998,4.6804999999999275,241.32902100000132,388,11,11,93.28,2.1449999999999876,-177.54500000000306,54,-27,-27,767.18,13.486499999999705,-4.576500000007808,-289,-18,-18,160.13,2.780999999999824,-36.8909999999929,-641,-22,-22,757.06,10.98899999999976,3719.1110000000335
2016-08-02,0.36771660032999776,14.367235304949997,505836.2424345014,514316.2,1143672.3530495013,205,-33,-33,106.050003,6.1709966999998365,-328.0209967000013,377,-8,-8,94.0,2.468000000000006,-310.7980000000009,81,-30,-30,768.69,32.009999999999536,-304.31999999999334,-271,-14,-14,161.27,2.6669999999998826,230.58299999999394,-619,-9,-9,763.81,6.9480000000002295,4389.72199999998
