,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL,MSFT Position,MSFT Order,MSFT Filled Order,MSFT Trade Price,MSFT Cost to Trade,MSFT PnL
2016-04-18,-0.16026209610000036,23.489965815004993,599601.3426200496,594839.342682,1234899.6581500494,-894,-9,-9,108.889999,2.0565000000000224,2108.0790390000025,-1838,193,193,151.75,30.300999999997675,-1524.8710000000021,-260,-28,-28,760.46,14.433999999998651,-1952.1540000000011,990,-206,-206,44.42,40.78799999999979,44.31199999999796,-338,-14,-14,55.49,1.9670000000000216,-277.98700000000076
2016-04-15,-0.02636468582499861,23.65022791110499,584616.8255710497,599479.16823,1236502.2791110496,-885,-45,-45,112.110001,6.884993250000278,1984.8151417499998,-2031,83,83,151.04,18.176999999999982,-1145.577000000004,-232,-30,-30,753.98,9.915000000000191,-1332.1149999999905,1196,-304,-304,46.45,49.7039999999993,325.41600000000835,-324,-12,-12,55.3,1.5060000000000118,-96.18599999999977
2016-04-14,0.06948660646499762,23.676592596929993,585289.9592492994,583134.95832,1236765.9259692996,-840,-19,-19,111.620003,3.3629933500000906,-61.74043534999654,-2114,202,202,151.5,36.36000000000253,57.07999999998104,-202,-31,-31,754.01,18.785999999999127,-246.75600000000392,1500,-460,-460,44.14,90.6200000000006,953.779999999995,-312,-17,-17,55.22,2.167500000000058,-7.497499999999481
2016-04-13,-0.174079562619999,23.607105990464994,567505.8257996493,587105.890821,1236071.0599046496,-821,-44,-44,110.800003,8.447991199999842,-1306.2071261999974,-2316,319,319,150.75,56.3035000000032,-4119.183499999992,-171,-71,-71,749.16,52.610999999997354,-1097.3710000000012,1960,-724,-724,42.55,102.80800000000116,4973.792000000001,-295,-46,-46,55.12,6.946000000000089,-191.826000000001
2016-04-12,-0.08826284761999935,23.781185553084995,560320.7233008493,568003.781554,1237811.8555308497,-777,-96,-96,109.339996,18.143995200000155,-1090.767976200003,-2635,327,327,149.61,77.33550000000402,-1196.3554999999965,-100,-61,-61,738.0,33.39749999999945,-616.4975000000018,2684,-817,-817,41.28,114.37999999999931,2109.860000000007,-249,-51,-51,54.37,7.267499999999841,-88.86749999999917
2016-04-11,0.2664966185849976,23.86944840070499,532424.7806020494,555782.3979570001,1238694.4840070498,-681,-197,-197,108.970001,35.45999015000025,-219.54581415000308,-2962,195,195,150.26,37.73250000000115,81.01749999998248,-39,-94,-94,743.02,55.930000000000426,426.79999999999825,3501,-673,-673,40.74,97.92149999999796,2359.438499999999,-198,-58,-58,54.49,8.584000000000106,17.255999999999798
2016-04-08,-0.21137655647500012,23.602951782119998,496265.3558851996,531708.191936,1236029.5178211995,-484,-273,-273,108.910004,58.69493174999877,-15.765564749998134,-3157,-5,-5,149.06,0.9000000000000625,-3469.549999999982,55,-123,-123,743.97,78.22800000000716,313.4919999999998,4174,-508,-508,40.86,89.66200000000148,1044.857999999979,-140,-100,-100,54.67,13.399999999999892,13.200000000000074
2016-04-07,-0.33735692223999725,23.814328338594997,419667.8648629497,492364.340211,1238143.2833859497,-211,-348,-348,109.949997,65.77210439999828,93.36677760000015,-3152,-358,-358,149.07,77.68599999999651,5161.25400000003,178,-128,-128,745.37,81.15199999999895,-1085.0920000000199,4682,-103,-103,41.3,13.90499999999965,-7515.964999999983,-40,-134,-134,54.87,20.03300000000025,-27.133000000000386
2016-04-06,0.3996635362500016,24.15168526083499,374167.4927453496,419155.88,1241516.8526083496,137,-258,-258,110.230003,42.699064499999864,223.2123625000014,-2794,-331,-331,149.9,65.37249999999887,-154.35250000002557,306,-77,-77,735.77,36.30549999999762,2221.724500000035,4785,-27,-27,41.53,3.75300000000004,1671.5370000000069,94,-53,-53,54.36,7.526000000000085,34.513999999999314
2016-04-05,-0.24632107962500369,23.75202172458499,327307.2480358496,369450.0,1237520.2172458498,395,-257,-257,109.510002,50.372064250000776,-981.5942962500014,-2463,-320,-320,151.43,57.76000000000022,4835.849999999988,383,-85,-85,738.0,52.57250000000147,-3540.892500000002,4812,68,68,41.45,9.248000000000093,-2614.368000000021,147,-92,-92,55.19,12.236000000000116,-162.2059999999999
