,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL
2016-05-25,1.2442487233999975,-27.812974002030085,1219.1582776985051,-0.0,721870.2599796986,7234,0,0,98.66999799999999,0.0,12442.487233999975
2016-05-24,1.0641362477599956,-29.057222725430087,1219.1582776985051,-0.0,709427.7727456986,7234,-12,-12,97.220001,2.112002399999949,10641.362477599956
2016-05-23,0.3193569188950105,-30.121358973190077,54.63026809850521,-0.0,698786.4102680986,7246,7007,7007,95.870003,1019.5195510499664,3193.569188950105
2016-05-20,-0.4123799894050069,-30.44071589208509,672835.2608401484,-0.0,695592.8410791485,239,7359,7359,94.639999,1129.6061320500194,-4123.799894050069
2016-05-19,0.19716199990000294,-30.028335902680084,22747.03385319849,670703.97864,699716.6409731985,-7120,-6879,-6879,94.639999,1141.9140000000173,1971.6199990000293
2016-05-18,-0.6165068249750046,-30.22549790258009,675148.8585641985,22788.959518,697745.0209741985,-241,6913,6913,94.160004,1275.446771750043,-6165.068249750047
2016-05-17,0.5794682520850061,-29.608991077605083,19916.091991948342,668827.445692,703910.0892239484,-7154,-6939,-6939,94.550003,1644.5419591499665,5794.68252085006
2016-05-16,-1.5795103946000046,-30.188459329690083,678571.9064880984,20184.199355,698115.4067030984,-215,7340,7340,92.389999,1346.8892660000495,-15795.103946000047
2016-05-13,-0.568799224820003,-28.60894893509008,37889.087984098376,683878.577335,713910.5106490983,-7555,-7148,-7148,90.0,1897.7932852000026,-5687.99224820003
2016-05-12,-0.1634365014400017,-28.04014971027008,680892.8004552984,36768.378372,719598.5028972984,-407,6888,6888,92.720001,1071.084344400043,-1634.3650144000171
2016-05-11,0.5852992922549999,-27.87671320883007,32220.088731698386,674860.46459,721232.8679116984,-7295,-6951,-6951,93.480003,1202.522652449974,5852.992922549998
2016-05-10,-0.5120211333749984,-28.462012501085074,683305.3129251484,32136.479311999996,715379.8749891485,-344,7015,7015,93.33000200000001,1115.3853507499616,-5120.211333749984
2016-05-09,0.018386335949996238,-27.949991367710073,34567.70368189838,682841.617359,720500.0863228984,-7359,-6990,-6990,93.0,1258.1996505000088,183.86335949996237
2016-05-06,-0.1885787292000013,-27.968377703660067,685622.8411183985,34213.680369,720316.2229633984,-369,6937,6937,93.370003,1175.8215000000348,-1885.787292000013
2016-05-05,0.41854725386999503,-27.779798974460064,29885.435643398396,681211.425388,722202.0102553985,-7306,-6993,-6993,94.0,1426.5726993000524,4185.47253869995
2016-05-04,-0.12520009135999285,-28.198346228330063,687902.8102206984,29481.470626000002,718016.5377166984,-313,7004,7004,95.199997,1421.8112996000027,-1252.0009135999285
2016-05-03,-0.8665153163000098,-28.073146136970074,37177.84253229867,696432.06,719268.5386302985,-7317,-6923,-6923,94.199997,1273.8320000000222,-8665.153163000097
2016-05-02,-0.303134645845001,-27.20663082067006,690779.4906112986,36894.159606,727933.6917932986,-394,6971,6971,93.970001,1467.3951514500334,-3031.34645845001
2016-04-29,0.01896890523500413,-26.903496174825058,36887.45298174866,690395.08527,730965.0382517487,-7365,-6989,-6989,93.989998,1967.4024516499614,189.68905235004127
2016-04-28,0.08395012300499584,-26.922465080060064,693028.7091993986,35656.080752,730775.3491993987,-376,6861,6861,97.610001,1725.541156950011,839.5012300499584
